FID,VALID,MAG,WFO,TYPECODE,TYPETEXT,CITY,COUNTY,SOURCE,REMARK,POINT_X,POINT_Y,lon,lat,long
40,201104252317,0.000000000000000,LZK,T,TORNADO,Hot Springs Village,Saline,trained spotter,many homes were damaged. time is approximated from radar.,-92.930000000000007,34.670000000000002,-92.9300003,34.6699982,-92.9300003
41,201104252318,0.000000000000000,LZK,T,TORNADO,Hot Springs Village,Saline,trained spotter,numerous trees were blown down.,-92.930000000000007,34.670000000000002,-92.9300003,34.6699982,-92.9300003
42,201104252330,0.000000000000000,PAH,T,TORNADO,3 Sw Sedgewickville,Bollinger,nws storm survey,...late report... ef1 tornado with 2 mile path length. roof torn off. mobile home blown over.,-89.939999999999998,37.479999999999997,-89.9400024,37.4799995,-89.9400024
43,201104252344,0.000000000000000,SHV,T,TORNADO,1 N Tatum,Rusk,law enforcement,trees down. shed destroyed along cr 2214. damage to a house along cr 2187 near tatum as well.,-94.519999999999996,32.329999999999998,-94.5199966,32.3300018,-94.5199966
44,201104252353,0.000000000000000,FWD,T,TORNADO,2 Ne Coolidge,Limestone,amateur radio,brief tornado touchdown 2ne coolidge,-96.650000000000006,31.770000000000000,-96.6500015,31.7700005,-96.6500015
45,201104252359,0.000000000000000,FWD,T,TORNADO,1 W Wortham,Limestone,fire dept/rescue,tornado spotted on ground 1w of wortham.,-96.489999999999995,31.780000000000001,-96.4899979,31.7800007,-96.4899979
46,201104260002,0.000000000000000,SHV,T,TORNADO,5 S Wake Village,Bowie,amateur radio,trees downed across fm 2148...rain wrapped tornado spotted west of this location near redwater,-94.109999999999999,33.350000000000001,-94.1100006,33.3499985,-94.1100006
47,201104260014,0.000000000000000,LZK,T,TORNADO,3 E Mayflower,Faulkner,law enforcement,tornado was reported on highway 89.,-92.370000000000005,34.969999999999999,-92.3700027,34.9700012,-92.3700027
48,201104260025,0.000000000000000,FWD,T,TORNADO,2 Sw Fairfield,Freestone,trained spotter,brief rope tornado touchdown 2 to 3 miles sw of fairfield.,-96.189999999999998,31.699999999999999,-96.1900024,31.7000008,-96.1900024
49,201104260025,0.000000000000000,LZK,T,TORNADO,Vilonia,Faulkner,amateur radio,trees and power lines were down...blocking highway 64.,-92.209999999999994,35.079999999999998,-92.2099991,35.0800018,-92.2099991
50,201104260035,0.000000000000000,FWD,T,TORNADO,2 N Oakwood,Leon,law enforcement,"2 spotted. one just off the ground, one fully on the ground.",-95.799999999999997,31.530000000000001,-95.8000031,31.5300007,-95.8000031
51,201104260045,0.000000000000000,LZK,T,TORNADO,Romance,White,trained spotter,a spotter witnessed a tornado pass across his property...blowing a roof off of an outbuilding.,-92.049999999999997,35.229999999999997,-92.0500031,35.2299995,-92.0500031
52,201104260047,0.000000000000000,FWD,T,TORNADO,3 W Fairfield,Freestone,law enforcement,tornado reported on the ground 3w of fairfield.,-96.219999999999999,31.719999999999999,-96.2200012,31.7199993,-96.2200012
53,201104260050,0.000000000000000,SHV,T,TORNADO,Tyler,Smith,trained spotter,numerous tree limbs down on the tyler junior college campus. damage at least one structure in tyler.,-95.299999999999997,32.329999999999998,-95.3000031,32.3300018,-95.3000031
54,201104260052,0.000000000000000,LZK,T,TORNADO,Jacksonville,Pulaski,emergency mngr,north pulaski high school suffered major structural damage. there were roof collapses...and several walls caved in.,-92.129999999999995,34.869999999999997,-92.1299973,34.8699989,-92.1299973
55,201104260052,0.000000000000000,LZK,T,TORNADO,Little Rock Air Force B,Pulaski,other federal,several houses on the air base had roof damage...and cars were thrown at the bx next to the commisary.,-92.150000000000006,34.920000000000002,-92.1500015,34.9199982,-92.1500015
56,201104260056,0.000000000000000,FWD,T,TORNADO,3 E Oakwood,Leon,fire dept/rescue,tornado reported on the ground 3e of oakwood on hwy 79.,-95.750000000000000,31.500000000000000,-95.7500000,31.5000000,-95.7500000
57,201104260058,0.000000000000000,FWD,T,TORNADO,2 Ne Buffalo,Leon,broadcast media,tornado spotted on the ground 2ne of buffalo.,-96.049999999999997,31.489999999999998,-96.0500031,31.4899998,-96.0500031
58,201104260058,0.000000000000000,SHV,T,TORNADO,Kickapoo,De Soto,public,tornado sighted near kickapoo.,-93.849999999999994,32.200000000000003,-93.8499985,32.2000008,-93.8499985
59,201104260110,0.000000000000000,SHV,T,TORNADO,Frierson,De Soto,law enforcement,trees down in the ditch and debris in the road along i-49 between mile markers 186 and 191.,-93.700000000000003,32.250000000000000,-93.6999969,32.2500000,-93.6999969
60,201104260133,0.000000000000000,FWD,T,TORNADO,5 Sw Butler,Freestone,amateur radio, ,-96.010000000000005,31.620000000000001,-96.0100021,31.6200008,-96.0100021
61,201104260210,0.000000000000000,MEG,T,TORNADO,2 N Fair Oaks,Cross,law enforcement,"possible tornado between fair oaks and tilton, time estimated.",-91.030000000000001,35.259999999999998,-91.0299988,35.2599983,-91.0299988
62,201104260237,0.000000000000000,SHV,T,TORNADO,Wells,Cherokee,nws storm survey,an ef1 tornado with a 10 mile path length began in the extreme southeast corner of cherokee county where it caused roof damage to a home along c,-94.950000000000003,31.489999999999998,-94.9499969,31.4899998,-94.9499969
63,201104260240,0.000000000000000,SHV,T,TORNADO,4 Ssw Wells,Angelina,trained spotter,tornado on the ground north of hwy 103 and 7.,-94.980000000000004,31.440000000000001,-94.9800034,31.4400005,-94.9800034
64,201104260258,0.000000000000000,SHV,T,TORNADO,Wells,Cherokee,trained spotter,spotters reported a tornado on the ground near the community of wells.,-94.950000000000003,31.489999999999998,-94.9499969,31.4899998,-94.9499969
65,201104260313,0.000000000000000,SHV,T,TORNADO,Lufkin,Angelina,nws storm survey,an ef0 tornado with a path length of 1 mile touched down along richardson road northwest of lufkin. minor roof damage occurred to a mobile home,-94.730000000000004,31.329999999999998,-94.7300034,31.3299999,-94.7300034
66,201104260530,0.000000000000000,HGX,T,TORNADO,3 Ne Onalaska,Polk,public,public reported a possible tornado at walkers waterfront on lake livingston. north of triple creek loop and fm3152. time approximated.,-95.069999999999993,30.840000000000000,-95.0699997,30.8400002,-95.0699997
67,201104260530,0.000000000000000,PAH,T,TORNADO,7 Nne Murray,Calloway,nws storm survey,brief ef0 touchdown in rural area. peak wind 70 mph. path width 150 yard. path length 0.75 miles. large trees uprooted 12-18 inches in diameter.,-88.269999999999996,36.710000000000001,-88.2699966,36.7099991,-88.2699966
68,201104260537,0.000000000000000,PAH,T,TORNADO,2 Sw Kuttawa,Lyon,nws storm survey,...late report... microburst uprooted trees and snapped branches. house roof damaged. 5 mile path. winds estimated 90 mph.,-88.140000000000001,37.039999999999999,-88.1399994,37.0400009,-88.1399994
69,201104260540,0.000000000000000,PAH,T,TORNADO,2 Nw Eddyville,Lyon,nws storm survey,nws storm damage survey. see pnspah for details. tornado was rated ef1,-88.109999999999999,37.100000000000001,-88.1100006,37.0999985,-88.1100006
70,201104260540,0.000000000000000,PAH,T,TORNADO,Fredonia,Caldwell,nws storm survey,...late report... ef1 tornado with intermittent damage along 26 mile path. mainly tree damage and damage to barns. shingle damage to houses.,-88.060000000000002,37.210000000000001,-88.0599976,37.2099991,-88.0599976
71,201104260702,0.000000000000000,PAH,T,TORNADO,Greenbrier,Warrick,nws storm survey,ef2 tornado began 4.5 miles nnw of boonville and lifted just east of greenbrier. the tornado appeared to touch down again in the lynnville mine,-87.280000000000001,38.119999999999997,-87.2799988,38.1199989,-87.2799988
72,201104260709,0.000000000000000,PAH,T,TORNADO,Spurgeon,Pike,nws storm survey,ef1 tornado began on hwy 61 just south of spurgeon. it travelled northeast and tracked across fredonia street and then continued to travel north,-87.260000000000005,38.259999999999998,-87.2600021,38.2599983,-87.2600021
73,201104260710,0.000000000000000,PAH,T,TORNADO,Greenbrier,Warrick,trained spotter,"unconfirmed tornado. along highway 61 extensive wind damage, uprooted trees, snapped power poles, and structural damage. emergency vehicles resp",-87.280000000000001,38.119999999999997,-87.2799988,38.1199989,-87.2799988
74,201104260740,0.000000000000000,SHV,T,TORNADO,2 N Jena,La Salle,emergency mngr,damage reports from emergency manager of trees and powerlines down in summerville appears to be tornado damage.,-92.129999999999995,31.719999999999999,-92.1299973,31.7199993,-92.1299973
75,201104261141,0.000000000000000,JAN,T,TORNADO,2 Se Collins,Covington,nws storm survey,0.3 mile path ef-1 of maximum winds estimated at 95mph was surveyed to have a maximum width of 50 yards. a barn was detroyed with pieces of the,-89.530000000000001,31.620000000000001,-89.5299988,31.6200008,-89.5299988
76,201104261212,1.000000000000000,JAN,T,TORNADO,6 Wnw Laurel,Jones,nws storm survey,this tornado caused major damage to the roof of a well built home and minor damage to several other well built homes. the roof was blown off an,-89.239999999999995,31.730000000000000,-89.2399979,31.7299995,-89.2399979
77,201104262020,0.000000000000000,BGM,T,TORNADO,Verona Mills,Oneida,nws storm survey,ef-1 tornado touchdown in wooded area near the intersection of state road 49 and lauther rd near verona mills. multiple trees down and snapped p,-75.569999999999993,43.200000000000003,-75.5699997,43.2000008,-75.5699997
78,201104262144,0.000000000000000,GRR,T,TORNADO,1 N Burnips,Allegan,nws employee,nws survey found the tornado path was approximately 3.25 miles in length...50 yards wide...and was on the ground for around 7 minutes. tornado w,-85.840000000000003,42.740000000000002,-85.8399963,42.7400017,-85.8399963
79,201104262145,0.000000000000000,GRR,T,TORNADO,1 N Burnips,Allegan,nws employee,nws survey found the tornado path was approximately 3 miles in length and was on the ground for around 5 minutes. ef rating has yet to be determ,-85.840000000000003,42.740000000000002,-85.8399963,42.7400017,-85.8399963
80,201104262156,0.000000000000000,FWD,T,TORNADO,1 E Mabank,Kaufman,amateur radio,tornado reported on ground near mabank.,-96.079999999999998,32.369999999999997,-96.0800018,32.3699989,-96.0800018
81,201104262157,0.000000000000000,FWD,T,TORNADO,Seven Points,Henderson,trained spotter,tornado on cedar creek lake. near seven points.,-96.209999999999994,32.329999999999998,-96.2099991,32.3300018,-96.2099991
82,201104262211,0.000000000000000,FWD,T,TORNADO,5 Nnw Mabank,Kaufman,trained spotter,tornado spotted nnw of the city of mabank.,-96.129999999999995,32.439999999999998,-96.1299973,32.4399986,-96.1299973
83,201104262217,0.000000000000000,FWD,T,TORNADO,2 E Garrett,Ellis,amateur radio,tornado on the ground east of the city of garrett.,-96.620000000000005,32.369999999999997,-96.6200027,32.3699989,-96.6200027
84,201104262223,0.000000000000000,LZK,T,TORNADO,2 E Coy,Lonoke,nws employee,a tractor trailer was blown off of highway 165.,-91.829999999999998,34.539999999999999,-91.8300018,34.5400009,-91.8300018
85,201104262232,0.000000000000000,LZK,T,TORNADO,15 E Blakemore,Prairie,public,tornado was reported.,-91.640000000000001,34.600000000000001,-91.6399994,34.5999985,-91.6399994
86,201104262256,0.000000000000000,FWD,T,TORNADO,2 Sw Ben Wheller,Van Zandt,trained spotter,damage to roofs and trees,-95.719999999999999,32.430000000000000,-95.7200012,32.4300003,-95.7200012
87,201104262301,0.000000000000000,FWD,T,TORNADO,1 S Kemp,Kaufman,amateur radio,tornado south of kemp,-96.230000000000004,32.439999999999998,-96.2300034,32.4399986,-96.2300034
88,201104262303,0.000000000000000,FWD,T,TORNADO,1 N Primrose,Van Zandt,amateur radio,multi vortex tornado,-95.599999999999994,32.439999999999998,-95.5999985,32.4399986,-95.5999985
89,201104262304,0.000000000000000,SHV,T,TORNADO,4 Se Van,Smith,nws storm survey,ef0 tornado along a 7 mile long track in extreme northwest smith county. this tornado was a continuation of the tornado that moved out of van za,-95.579999999999998,32.490000000000002,-95.5800018,32.4900017,-95.5800018
90,201104262307,0.000000000000000,FWD,T,TORNADO,Martins Mills,Van Zandt,law enforcement,crossing market street in mabank,-95.780000000000001,32.430000000000000,-95.7799988,32.4300003,-95.7799988
91,201104262315,0.000000000000000,MEG,T,TORNADO,2 Nne Elaine,Phillips,nws storm survey,minor structural damage and trees either uprooted or snapped. ef-0 with estimated winds of 75 mph. path length 21.5 miles. max path width 200 ya,-90.840000000000003,34.329999999999998,-90.8399963,34.3300018,-90.8399963
92,201104262330,0.000000000000000,MEG,T,TORNADO,1 S Crumrod,Phillips,nws storm survey,minor structural damage and trees uprooted or snapped. ef-0 tornado with estimated winds of 80 mph. path length of 17.8 miles and max path width,-90.980000000000004,34.140000000000001,-90.9800034,34.1399994,-90.9800034
93,201104262330,0.000000000000000,MEG,T,TORNADO,Lula,Coahoma,emergency mngr,tornado forming in this location,-90.480000000000004,34.450000000000003,-90.4800034,34.4500008,-90.4800034
94,201104262335,0.000000000000000,SHV,T,TORNADO,1 Ssw Stewart,Rusk,nws storm survey,an ef1 tornado touched down along cr 2138 and moved ne...where it destroyed an outbuilding and snapped and uprooted several trees. it continued,-94.659999999999997,32.280000000000001,-94.6600037,32.2799988,-94.6600037
95,201104262340,0.000000000000000,MEG,T,TORNADO,Friars Point,Coahoma,emergency mngr,power lines down and mobile home damage,-90.640000000000001,34.369999999999997,-90.6399994,34.3699989,-90.6399994
96,201104262344,0.000000000000000,SHV,T,TORNADO,W Tatum,Rusk,emergency mngr,trees snapped...damage to a home...barn destroyed. on 149 and cr 2187 west of tatum,-94.519999999999996,32.310000000000002,-94.5199966,32.3100014,-94.5199966
97,201104262348,0.000000000000000,MEG,T,TORNADO,Coahoma,Coahoma,emergency mngr,significant structural damage,-90.519999999999996,34.369999999999997,-90.5199966,34.3699989,-90.5199966
98,201104270000,0.000000000000000,SHV,T,TORNADO,1 Nne Hawkins,Wood,fire dept/rescue,tornado briefly dropped down northeast of hawkins and quickly went back up,-95.200000000000003,32.600000000000001,-95.1999969,32.5999985,-95.1999969
99,201104270000,0.000000000000000,SHV,T,TORNADO,9 Ese Mineola,Wood,nws storm survey,an ef0 tornado snapped multiple trees along a 3 mile track just north of hwy. 80. the tornado touched down 7 miles west of hawkins and continued,-95.349999999999994,32.630000000000003,-95.3499985,32.6300011,-95.3499985
100,201104270004,0.000000000000000,SHV,T,TORNADO,4 S Marshall,Harrison,emergency mngr,cars off hwy...trees snapped along us 59,-94.349999999999994,32.479999999999997,-94.3499985,32.4799995,-94.3499985
101,201104270004,0.000000000000000,SHV,T,TORNADO,5 E Darco,Harrison,nws storm survey,a tornado touched down and snapped trees along fm 2625 just w of hwy 59. the tornado paralleled fm 2625 causing sporadic tree damage until it re,-94.349999999999994,32.430000000000000,-94.3499985,32.4300003,-94.3499985
102,201104270008,0.000000000000000,SHV,T,TORNADO,4 Se Marshall,Harrison,emergency mngr,home destroyed on blocker road,-94.299999999999997,32.500000000000000,-94.3000031,32.5000000,-94.3000031
103,201104270009,0.000000000000000,SHV,T,TORNADO,4 Sse Marshall,Harrison,emergency mngr,damage to a home along fm 2625 and taylor road,-94.319999999999993,32.479999999999997,-94.3199997,32.4799995,-94.3199997
104,201104270013,0.000000000000000,MEG,T,TORNADO,Coahoma,Coahoma,emergency mngr,2 homes destroyed in coahoma. reports of houses destroyed in friars point,-90.519999999999996,34.369999999999997,-90.5199966,34.3699989,-90.5199966
105,201104270018,0.000000000000000,LMK,T,TORNADO,7 Ne Leitchfield,Grayson,nws storm survey,an nws storm survey confirmed an ef-2 tornado with maximum wind speeds between 120 and 125 mph touched down in grayson county. the tornado touch,-86.200000000000003,37.549999999999997,-86.1999969,37.5499992,-86.1999969
106,201104270018,0.000000000000000,LZK,T,TORNADO,Wickes,Polk,emergency mngr,trees reported blown down. tornado confirmed by spotters.,-94.340000000000003,34.299999999999997,-94.3399963,34.2999992,-94.3399963
107,201104270019,0.000000000000000,LMK,T,TORNADO,7 Ne Leitchfield,Grayson,nws storm survey,an nws storm survey confirmed that an ef-0 tornado touched down about a mile and a half southwest of tar hill. the 60 yard wide tornado was on t,-86.209999999999994,37.549999999999997,-86.2099991,37.5499992,-86.2099991
108,201104270024,0.000000000000000,SHV,T,TORNADO,5 Wnw Waskom,Harrison,nws storm survey,an ef0 tornado touched down snapping a few trees just north of i-20 near the hwy 80 exit w of waskom. the tornado continued ne causing sporadic,-94.150000000000006,32.500000000000000,-94.1500015,32.5000000,-94.1500015
109,201104270034,0.000000000000000,SHV,T,TORNADO,4 S Benton,Bossier,nws storm survey,an ef0 tornado touched down and snapped several trees in the magnolia chase subdivision just off of benton rd. the tornado continued to the nne,-93.750000000000000,32.640000000000001,-93.7500000,32.6399994,-93.7500000
110,201104270046,0.000000000000000,SHV,T,TORNADO,9 N Joaquin,Panola,nws storm survey,*** 2 inj *** ef-2 tornado path length 42 miles...maximum width one half mile. most of damage was ef-o and ef-1. the tornado began in eastern pa,-94.060000000000002,32.100000000000001,-94.0599976,32.0999985,-94.0599976
111,201104270049,0.000000000000000,SHV,T,TORNADO,3 Nnw Tyler,Smith,nws storm survey,an ef0 tornado snapped and uprooted multiple trees along a 3 mile track just inside the northwest loop 323 and north of m.l.k. blvd. the tornado,-95.319999999999993,32.380000000000003,-95.3199997,32.3800011,-95.3199997
112,201104270050,0.000000000000000,SHV,T,TORNADO,Tyler,Smith,broadcast media,several trees and power lines down on cr 3123 and morningside near ne loop 323. tree down on a house at the 2600 block of cecil.,-95.299999999999997,32.329999999999998,-95.3000031,32.3300018,-95.3000031
113,201104270053,0.000000000000000,LMK,T,TORNADO,2 Ene Glendale,Hardin,nws storm survey,an nws storm survey confirmed and ef-1 tornado with maximum wind speeds of 100 to 105 mph touched down about 2 miles east northeast of glendale.,-85.879999999999995,37.609999999999999,-85.8799973,37.6100006,-85.8799973
114,201104270053,0.000000000000000,FWD,T,TORNADO,2 Nw Lost Prairie,Limestone,trained spotter,large tornado on ground,-96.400000000000006,31.500000000000000,-96.4000015,31.5000000,-96.4000015
115,201104270058,0.000000000000000,SHV,T,TORNADO,2 N Grand Cane,De Soto,amateur radio,numerous trees down in the ranchland subdivision..injuries unknown,-93.810000000000002,32.109999999999999,-93.8099976,32.1100006,-93.8099976
116,201104270058,0.000000000000000,SHV,T,TORNADO,Kickapoo,De Soto,law enforcement,numerous trees down along highway 171 near highway 5.,-93.849999999999994,32.200000000000003,-93.8499985,32.2000008,-93.8499985
117,201104270101,0.000000000000000,FWD,T,TORNADO,Groesbeck,Limestone,trained spotter,"roof damage, damage to fire dept, power poles down",-96.519999999999996,31.530000000000001,-96.5199966,31.5300007,-96.5199966
118,201104270106,0.000000000000000,PAH,T,TORNADO,1 S Cobb,Caldwell,nws storm survey,"brief ef0 tornado touchdown south of cobb, ky. tree limbs down. peak wind 65 mph.",-87.760000000000005,37.009999999999998,-87.7600021,37.0099983,-87.7600021
119,201104270113,0.000000000000000,SHV,T,TORNADO,4 Se Stonewall,De Soto,amateur radio,hwy 5 west of 175..trees down and numerous power lines downed. 1 tree fell on a vehicle,-93.769999999999996,32.219999999999999,-93.7699966,32.2200012,-93.7699966
120,201104270115,0.000000000000000,SHV,T,TORNADO,Frierson,De Soto,law enforcement,trees and power lines down along highway 175 north of i-49 near farris lane.,-93.700000000000003,32.250000000000000,-93.6999969,32.2500000,-93.6999969
